node_id,node_type,label,handle,degree,total_comments
UCdFlugHJJa4l3YqWuNRmvXw,author,@MarcosCarillo-b1r,/@MarcosCarillo-b1r,2,2
UCvl1tzQeBeGy6efPTRJXSCw,author,@RaulPerez-cw2vi,/@RaulPerez-cw2vi,1,1
UCRAquv8el-tQ30bN7MlmySQ,author,@iamjimalesssa,/@iamjimalesssa,1,1
UCkbsS_3D-pvg1iHOld9uvIg,author,@gonzalo6075,/@gonzalo6075,1,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,author,@luisroldan7374,/@luisroldan7374,1,1
UCi2KiZq63sRq8Mfbcp-MelQ,author,@eugeneramirez4405,/@eugeneramirez4405,1,6
UCXl30Y_upRqbti52fmjK4YA,author,@capitanfrans,/@capitanfrans,1,1
UCRelkU8JiZBytTzebJxaa-w,author,@danyraymundo2942,/@danyraymundo2942,1,1
UCgLurCo-e019HGODcjXHWCw,author,@perritojuega1,/@perritojuega1,1,1
UCDIMztpVm7G27qBuiWuT6oQ,author,@lizardomorataya8274,/@lizardomorataya8274,1,1
UCZOmq6MwFDVoCaEl99BRRaw,author,@daniloarevalo3170,/@daniloarevalo3170,1,1
UCFybmWapGvBKcQod7cPPH9w,author,@vitalianochavez8382,/@vitalianochavez8382,1,1
UCh5ESQvtzyHDhCA7XyekCFA,author,@andyB5280,/@andyB5280,1,3
UCWIZUtKJ636y-4TYrNvok0g,author,@cesarandreas7824,/@cesarandreas7824,1,1
UCzoL2l5H5eVlorWGH8AZfAg,author,@jor77cas,/@jor77cas,1,1
UCKVzDUqbtdSMBcexaEtMmzQ,author,@rotorairgroup8409,/@rotorairgroup8409,1,1
UCNpt5CQlTzNjlAKY6CJtClQ,author,@eustaquiogomez9975,/@eustaquiogomez9975,1,1
UCut6b9S98nv84cVX89PmKzA,author,@yeniferaguirre4498,/@yeniferaguirre4498,1,2
UCQyOePccUP-fIJYzchAgZYw,author,@aguilar4254,/@aguilar4254,1,1
UCOLGv5Pf6BF2wFcwUzgcvHg,author,@welfrealdana5559,/@welfrealdana5559,1,2
UCAxvOOHQk7dYPOajzFEVtbA,author,@ruddydepaz322,/@ruddydepaz322,1,2
UCQ_-LPP8JAbfkc-b1Q6NvWw,author,@MegaKristenstewart,/@MegaKristenstewart,1,2
UCXmrpc6Li0spcKxtS0Q_ptg,author,@melvinperez6710,/@melvinperez6710,1,1
UCZ51R_9Q9C0c8I3pAWhtmjQ,author,@belvettzapeta1251,/@belvettzapeta1251,1,1
UCPLW0HE3siElqCgXfgWxMqg,author,@elizabethmonterroso7719,/@elizabethmonterroso7719,1,1
UCxhtlxPV8AYWaNNyU6S9H8Q,author,@WilR-s8r,/@WilR-s8r,1,1
UCvcu1kR8xMYy_I1Ty-2mV2Q,author,@hashojea7348,/@hashojea7348,3,4
UCaKAjTW9MVub_clgr4DRYjQ,author,@josecastillo4390,/@josecastillo4390,1,1
UCxff05WuyvwELNITi7bj7UA,author,@markoherrera,/@markoherrera,1,1
UCZLG9qH0tUjNhEGFIUt0CYw,author,@SoniaMarroquin-y6e,/@SoniaMarroquin-y6e,1,1
UCwgCc9Jd_gG-uLE_SY-FfPg,author,@armindapenados2841,/@armindapenados2841,1,1
UCXSkL3ejZ8qWYyF_M7s_QKA,author,@JacintaTzoy,/@JacintaTzoy,1,1
UChs3tU2BcKOT0CezykvAsGw,author,@byronpontaza,/@byronpontaza,1,3
UC6PvO1_k5lHKGdAPo5_C6TA,author,@johnmejia992,/@johnmejia992,1,1
UCwxoKK59nGCeBqB2sXfDBIw,author,@vic-bonivideos,/@vic-bonivideos,1,1
UCWaRixDdpgllTBf4V0jPnKQ,author,@hectormaaz5523,/@hectormaaz5523,1,2
